Subscriber,94107,14877
Subscriber,94105,11354
Subscriber,94133,6576
Customer,,6130
Subscriber,94103,4884
Subscriber,94111,4343
Subscriber,94102,4320
Subscriber,94109,3253
Subscriber,95112,2742
Subscriber,94117,2657
Subscriber,94158,2256
Subscriber,94110,1863
Subscriber,94108,1767
Subscriber,94611,1559
Subscriber,94114,1551
Subscriber,94610,1262
Subscriber,94040,1215
Subscriber,94025,1203
Subscriber,94602,1185
Subscriber,94041,1175
Subscriber,94403,1109
Subscriber,95113,1099
Customer,94107,1026
Subscriber,94122,972
Subscriber,94115,935
Subscriber,94010,931
Subscriber,94062,910
Subscriber,95110,883
Subscriber,94043,815
Subscriber,94501,807
Subscriber,94404,800
Subscriber,94609,790
Subscriber,94301,782
Subscriber,94608,781
Subscriber,94002,774
Subscriber,94118,774
Subscriber,95126,722
Subscriber,94070,717
Subscriber,94612,712
Subscriber,94131,711
Subscriber,94402,682
Subscriber,94606,678
Customer,94105,670
Subscriber,94086,644
Subscriber,94123,630
Subscriber,94104,629
Subscriber,94112,623
Subscriber,94703,602
Subscriber,94061,586
Subscriber,94116,555
Customer,94109,445
Customer,94102,444
Subscriber,94590,441
Subscriber,94087,431
Subscriber,95014,428
Subscriber,94303,427
Subscriber,94903,424
Subscriber,94618,423
Subscriber,94306,409
Subscriber,94121,408
Subscriber,94920,399
Subscriber,95032,397
Customer,94103,396
Subscriber,94550,392
Subscriber,94705,382
Customer,94133,380
Subscriber,94597,370
Subscriber,94530,369
Customer,94111,364
Subscriber,94960,356
Subscriber,94127,350
Subscriber,94702,347
Customer,95112,334
Subscriber,94549,332
Subscriber,94707,331
Customer,94110,321
Subscriber,94704,315
Subscriber,94965,314
Subscriber,94065,310
Customer,94117,308
Subscriber,94024,299
Subscriber,95051,296
Subscriber,94510,294
Subscriber,94066,288
Subscriber,94080,284
Subscriber,94939,276
Subscriber,94558,275
Subscriber,94709,267
Subscriber,95125,259
Subscriber,94925,237
Subscriber,94044,230
Subscriber,95050,230
Subscriber,94124,229
Subscriber,94941,228
Subscriber,94502,223
Subscriber,94605,220
Subscriber,94945,213
Subscriber,94930,205
Subscriber,94538,201
Subscriber,94132,200
Subscriber,94063,199
Subscriber,94085,196
Customer,94115,195
Customer,94040,181
Subscriber,94710,179
Subscriber,94952,179
Customer,94158,178
Subscriber,94619,171
Subscriber,94708,169
Customer,94123,167
Customer,94114,165
Subscriber,94588,163
Subscriber,94129,162
Subscriber,94556,159
Customer,94108,156
Subscriber,94518,156
Subscriber,94607,155
Customer,94025,153
Subscriber,94706,153
Subscriber,94565,148
Subscriber,94901,144
Subscriber,95008,138
Customer,94112,136
Subscriber,94596,136
Subscriber,94904,135
Subscriber,95129,133
Subscriber,95127,130
Subscriber,94503,130
Customer,94118,130
Subscriber,94134,129
Customer,94043,128
Customer,94131,125
Subscriber,94015,125
Subscriber,94030,123
Customer,94301,122
Customer,94306,121
Customer,94116,120
Subscriber,94552,119
Subscriber,95124,117
Subscriber,94401,116
Subscriber,95136,115
Subscriber,94534,113
Subscriber,95120,112
Subscriber,94577,111
Subscriber,94579,110
Subscriber,95377,110
Subscriber,94536,108
Customer,94941,107
Subscriber,94601,105
Subscriber,94507,105
Customer,94610,105
Subscriber,95111,102
Subscriber,95130,102
Customer,95126,101
Customer,94041,100
Subscriber,95020,100
Subscriber,94568,99
Customer,94010,99
Subscriber,95608,96
Customer,94122,96
Customer,94611,94
Subscriber,94553,93
Customer,94501,92
Customer,94303,90
Customer,94062,89
Customer,94608,88
Customer,94121,88
Subscriber,94022,84
Subscriber,95035,82
Customer,94132,82
Subscriber,94089,81
Customer,10011,80
Customer,95051,79
Subscriber,94544,79
Subscriber,94542,78
Subscriber,95138,78
Customer,94602,76
Subscriber,95060,75
Subscriber,94126,75
Subscriber,96768,74
Customer,94403,74
Subscriber,94541,73
Subscriber,94120,72
Subscriber,94587,71
Subscriber,94803,70
Customer,95113,69
Subscriber,94957,69
Subscriber,95128,68
Customer,90027,64
Customer,95125,63
Customer,94066,63
Subscriber,95070,61
Subscriber,94119,61
Subscriber,95054,60
Customer,94104,59
Customer,94086,58
Customer,95008,57
Subscriber,95118,57
Customer,10036,57
Customer,11238,56
Customer,95219,56
Customer,94704,56
Customer,95124,56
Customer,94002,56
Customer,94901,55
Customer,94609,54
Customer,94607,54
Customer,94939,54
Subscriber,94539,53
Subscriber,94555,52
Customer,94015,52
Customer,94124,51
Subscriber,99403,51
Subscriber,94014,50
Subscriber,94598,50
Customer,94606,49
Subscriber,10009,49
Customer,60613,49
Subscriber,94582,49
Customer,60657,49
Subscriber,94804,49
Customer,94134,48
Customer,94063,48
Subscriber,94519,48
Subscriber,95131,48
Customer,94127,47
Customer,94549,46
Subscriber,95139,45
Customer,94087,45
Customer,94404,45
Customer,94061,44
Customer,94618,44
Customer,94402,44
Subscriber,90291,44
Customer,95110,44
Subscriber,2139,42
Customer,98101,42
Customer,10019,41
Customer,98103,41
Customer,95129,40
Customer,10022,40
Customer,90210,40
Subscriber,93930,40
Customer,10003,39
Subscriber,94545,39
Customer,2139,39
Customer,95014,39
Customer,94129,39
Customer,13502,39
Customer,94597,38
Customer,94070,38
Customer,95035,38
Customer,10014,38
Customer,94612,38
Customer,84123,38
Customer,94702,38
Customer,94401,38
Customer,95030,37
Customer,94568,37
Subscriber,94621,36
Subscriber,94566,36
Customer,94538,36
Customer,94920,35
Customer,10025,34
Subscriber,94146,34
Customer,10009,34
Subscriber,94546,34
Customer,94510,34
Customer,95131,34
Customer,10012,34
Customer,94014,33
Customer,2115,33
Subscriber,95116,33
Subscriber,94005,33
Customer,94539,33
Subscriber,95109,33
Customer,10010,33
Subscriber,95815,32
Customer,95050,32
Customer,95128,32
Customer,94022,32
Customer,94705,32
Subscriber,95062,32
Customer,91104,32
Customer,95070,32
Subscriber,94027,31
Customer,94566,31
Customer,94709,31
Subscriber,95066,31
Customer,92612,31
Customer,75002,30
Customer,98122,30
Customer,94706,30
Customer,94598,30
Customer,10021,30
Customer,68138,30
Customer,92037,30
Subscriber,94164,30
Customer,94024,29
Customer,10016,29
Subscriber,95448,29
Customer,94080,29
Customer,11373,29
Subscriber,95472,28
Customer,94601,28
Subscriber,94310,28
Subscriber,95746,28
Customer,8540,28
Customer,11215,28
Customer,95123,28
Customer,10044,28
Customer,94563,28
Customer,94804,27
Customer,94559,27
Customer,60622,27
Customer,11201,27
Customer,20009,27
Customer,90046,27
Customer,94960,27
Subscriber,95348,26
Customer,94707,26
Customer,20001,26
Customer,94550,26
Customer,78705,26
Customer,2118,26
Customer,94588,26
Subscriber,91320,25
Customer,94085,25
Customer,10023,25
Customer,94703,25
Customer,60614,25
Customer,95060,25
Customer,21202,25
Subscriber,94305,24
Customer,94546,24
Subscriber,97214,24
Customer,94558,24
Customer,94577,24
Customer,80206,24
Customer,96145,24
Subscriber,94039,24
Customer,95032,24
Customer,94564,24
Customer,95724,24
Subscriber,94559,24
Customer,10128,23
Customer,95136,23
Customer,94619,23
Customer,94044,23
Customer,94965,23
Customer,14706,23
Customer,94903,23
Customer,11222,23
Customer,95037,22
Customer,90024,22
Customer,94305,22
Customer,94710,22
Customer,95132,22
Customer,60091,22
Customer,94089,22
Customer,19147,22
Customer,98102,22
Subscriber,95037,22
Customer,2127,22
Customer,95127,22
Customer,94565,22
Customer,94544,21
Customer,90028,21
Customer,95148,21
Subscriber,95864,21
Customer,94587,21
Customer,10001,21
Customer,92130,20
Customer,90019,20
Subscriber,95404,20
Customer,95054,20
Customer,91402,20
Customer,34747,20
Customer,10024,20
Customer,8102,20
Customer,98115,20
Customer,92840,20
Customer,95134,20
Customer,98105,19
Customer,94304,19
Customer,33304,19
Customer,90025,19
Customer,94530,19
Customer,95111,19
Customer,91362,19
Customer,10026,19
Customer,85306,19
Customer,95616,19
Customer,67601,19
Customer,94019,19
Customer,95762,18
Customer,95023,18
Customer,95003,18
Customer,92122,18
Customer,84108,18
Customer,92067,18
Customer,90066,18
Customer,28034,18
Subscriber,94304,18
Customer,94130,18
Customer,91354,18
Customer,95118,18
Customer,10013,18
Customer,92021,18
Customer,94583,18
Customer,95120,18
Customer,94952,18
Customer,10018,18
Customer,92024,18
Customer,44780,18
Customer,90212,18
Customer,92103,18
Customer,90274,18
Customer,59937,17
Customer,10027,17
Customer,12345,17
Subscriber,94966,17
Customer,60601,17
Customer,11211,17
Customer,91770,17
Customer,80305,17
Customer,50010,17
Customer,11103,17
Subscriber,94103-2585,17
Customer,94518,17
Customer,94591,17
Customer,95122,17
Customer,95116,17
Subscriber,94551,17
Subscriber,9501,17
Customer,9401,17
Customer,60608,17
Customer,94805,16
Customer,1135,16
Customer,91105,16
Customer,78757,16
Customer,2144,16
Customer,95109,16
Customer,94904,16
Customer,96160,16
Customer,55105,16
Customer,28208,16
Customer,46168,16
Customer,94556,16
Subscriber,94547,16
Customer,94348,16
Customer,94595,16
Customer,95117,16
Customer,92101,16
Customer,85203,15
Customer,90405,15
Customer,94930,15
Customer,11040,15
Customer,94605,15
Customer,92660,15
Customer,90049,15
Customer,90020,15
Customer,15601,15
Customer,94030,15
Customer,97217,15
Subscriber,95122,15
Customer,21054,15
Customer,60565,15
Customer,92120,15
Customer,20008,15
Customer,89450,15
Customer,90026,15
Customer,83001,15
Customer,12000,15
Customer,15215,15
Customer,45400,15
Customer,94925,15
Customer,95472,15
Customer,96047,15
Customer,94541,14
Customer,97214,14
Customer,33000,14
Customer,92104,14
Customer,80209,14
Customer,80226,14
Customer,60615,14
Customer,97701,14
Customer,10115,14
Customer,94596,14
Customer,94521,14
Customer,19103,14
Subscriber,94526,14
Customer,92029,14
Subscriber,94563,14
Customer,91007,14
Customer,8504,14
Customer,11963,14
Customer,95138,14
Subscriber,94589,14
Customer,37205,14
Customer,92117,14
Customer,92014,14
Customer,20002,14
Customer,1121,14
Customer,95020,14
Customer,5401,14
Customer,20005,14
Customer,91605,14
Customer,95033,14
Customer,92688,14
Customer,85281,14
Customer,83340,13
Customer,94507,13
Customer,95130,13
Customer,6012,13
Customer,93312,13
Customer,11740,13
Customer,94561,13
Customer,90029,13
Customer,90034,13
Customer,94949,13
Customer,84020,13
Customer,95404,13
Customer,93510,13
Customer,2116,13
Customer,60647,13
Customer,5511,13
Customer,78704,13
Customer,98109,13
Customer,11231,13
Customer,92627,13
Subscriber,95015,13
Customer,94513,13
Customer,77005,13
Customer,33131,13
Customer,93110,13
Customer,89503,13
Customer,60148,13
Customer,94536,13
Customer,95476,12
Customer,98166,12
Customer,60625,12
Customer,91950,12
Subscriber,94583,12
Subscriber,22206,12
Customer,84103,12
Customer,60654,12
Customer,95121,12
Customer,90401,12
Customer,95818,12
Customer,77008,12
Customer,2068,12
Customer,95521,12
Customer,90017,12
Customer,91024,12
Customer,1093,12
Customer,60007,12
Customer,33160,12
Customer,2138,12
Customer,92373,12
Customer,9410,12
Customer,27705,12
Customer,2128,12
Customer,2215,12
Customer,95062,12
Customer,8006,12
Customer,94506,12
Customer,28300,12
Customer,92705,12
Customer,53563,12
Customer,94542,12
Customer,91214,12
Customer,94590,12
Customer,84606,12
Customer,91103,12
Customer,94947,12
Customer,91011,12
Customer,94526,12
Customer,91326,12
Customer,2460,12
Customer,90277,12
Customer,48198,12
Customer,7604,12
Customer,29651,11
Customer,89117,11
Customer,33134,11
Customer,94553,11
Customer,4022,11
Customer,95645,11
Customer,94018,11
Customer,90220,11
Customer,95608,11
Customer,8144,11
Customer,99801,11
Customer,22314,11
Subscriber,94977,11
Customer,2906,11
Customer,15238,11
Customer,60640,11
Customer,14858,11
Customer,95824,11
Subscriber,94564,11
Customer,37206,11
Customer,94945,11
Customer,81301,11
Customer,1890,11
Customer,29708,11
Customer,6518,11
Customer,89511,11
Customer,94509,11
Customer,2478,11
Customer,95816,11
Customer,85224,11
Customer,6877,11
Customer,49720,11
Customer,87505,11
Customer,30305,11
Customer,11237,11
Customer,92630,11
Customer,11217,11
Customer,94005,11
Subscriber,95370,11
Subscriber,94130,11
Customer,10028,11
Customer,94523,11
Customer,80127,11
Customer,90266,11
Customer,98121,11
Subscriber,94805,10
Subscriber,60622,10
Customer,95833,10
Customer,48105,10
Customer,94502,10
Customer,92663,10
Customer,3290,10
Customer,57186,10
Customer,5017,10
Customer,8812,10
Customer,94806,10
Customer,80304,10
Customer,90064,10
Customer,3513,10
Customer,68304,10
Customer,55305,10
Customer,89052,10
Customer,9158,10
Customer,90404,10
Customer,90713,10
Customer,7030,10
Customer,98126,10
Customer,2148,10
Subscriber,94949,10
Customer,2143,10
Customer,77018,10
Customer,90742,10
Customer,34997,10
Customer,60618,10
Customer,98144,10
Customer,97212,10
Customer,60514,10
Customer,95076,10
Customer,92648,10
Customer,30319,10
Customer,91411,10
Customer,91801,10
Customer,90291,10
Customer,27615,10
Customer,95628,10
Customer,85251,10
Customer,21234,10
Customer,92618,10
Customer,90069,10
Customer,93923,10
Customer,87122,10
Customer,21030,10
Customer,33133,10
Customer,93940,10
Customer,40203,10
Customer,44114,9
Customer,44122,9
Customer,80301,9
Customer,90230,9
Customer,78613,9
Customer,22209,9
Customer,68516,9
Customer,91780,9
Customer,95819,9
Subscriber,95135,9
Customer,27103,9
Customer,95104,9
Customer,92115,9
Customer,91316,9
Customer,50266,9
Customer,30030,9
Customer,56279,9
Customer,90036,9
Customer,20003,9
Customer,80014,9
Customer,91202,9
Customer,94560,9
Customer,98117,9
Customer,93109,9
Customer,98296,9
Customer,48103,9
Customer,10002,9
Customer,3801,9
Customer,92128,9
Customer,85044,9
Customer,77002,9
Customer,95119,9
Customer,2874,9
Customer,90802,9
Customer,91745,9
Customer,94119,9
Customer,97202,9
Customer,43560,9
Customer,92870,9
Customer,1772,9
Customer,75010,9
Customer,35134,9
Customer,98116,9
Customer,68131,9
Customer,55417,9
Customer,90292,9
Customer,11206,9
Customer,3006,9
Customer,52788,9
Customer,19104,9
Customer,94582,9
Customer,93905,9
Customer,93111,9
Customer,1778,9
Customer,89149,9
Customer,30079,9
Customer,85213,9
Customer,22903,9
Customer,33139,9
Customer,90048,9
Customer,93933,9
Customer,95065,9
Customer,97008,9
Customer,77007,9
Customer,19143,8
Customer,94090,8
Customer,76249,8
Customer,4813,8
Customer,1576,8
Subscriber,94523,8
Customer,1001,8
Customer,85295,8
Customer,18947,8
Customer,80442,8
Customer,90035,8
Customer,55405,8
Customer,34203,8
Customer,95864,8
Customer,60611,8
Customer,93726,8
Customer,90275,8
Customer,94028,8
Customer,54911,8
Customer,89509,8
Customer,11358,8
Customer,10701,8
Customer,80204,8
Customer,80131,8
Customer,44534,8
Customer,11377,8
Customer,34683,8
Customer,75061,8
Customer,1234,8
Customer,90813,8
Customer,75244,8
Customer,6700,8
Customer,30324,8
Customer,91911,8
Customer,43212,8
Customer,72762,8
Customer,84121,8
Customer,55408,8
Customer,93041,8
Customer,70130,8
Customer,92763,8
Customer,87015,8
Customer,75003,8
Customer,30309,8
Customer,6878,8
Customer,30075,8
Customer,3933,8
Customer,94126,8
Customer,93309,8
Customer,80012,8
Customer,48188,8
Customer,90012,8
Customer,21029,8
Customer,63130,8
Customer,90814,8
Customer,53217,8
Customer,78209,8
Customer,1757,8
Customer,91914,8
Customer,94579,8
Customer,95380,8
Customer,21412,8
Customer,97209,8
Customer,93401,8
Customer,2476,8
Customer,90620,8
Customer,8030,8
Customer,21044,8
Customer,14226,8
Customer,97006,8
Customer,50219,8
Customer,92109,8
Customer,10038,8
Customer,84604,8
Customer,95926,8
Customer,40502,8
Customer,92126,8
Customer,80027,8
Customer,11968,8
Customer,84092,7
Customer,92007,7
Customer,7050,7
Customer,97526,7
Customer,92324,7
Customer,91505,7
Customer,98188,7
Customer,80528,7
Customer,51899,7
Customer,19355,7
Customer,2421,7
Customer,22201,7
Customer,80205,7
Customer,98112,7
Customer,93270,7
Customer,3060,7
Customer,94042,7
Customer,97239,7
