2013-08-29,748
2013-08-30,714
2013-08-31,640
2013-09-01,706
2013-09-02,661
2013-09-03,597
2013-09-04,606
2013-09-05,677
2013-09-06,814
2013-09-07,796
2013-09-08,704
2013-09-09,769
2013-09-10,892
2013-09-11,880
2013-09-12,942
2013-09-13,981
2013-09-14,702
2013-09-15,624
2013-09-16,914
2013-09-17,1073
2013-09-18,1110
2013-09-19,1044
2013-09-20,1102
2013-09-21,388
2013-09-22,584
2013-09-23,1050
2013-09-24,1075
2013-09-25,1264
2013-09-26,1082
2013-09-27,1101
2013-09-28,612
2013-09-29,517
2013-09-30,976
2013-10-01,1072
2013-10-02,1061
2013-10-03,1158
2013-10-04,1088
2013-10-05,716
2013-10-06,606
2013-10-07,964
2013-10-08,1018
2013-10-09,1069
2013-10-10,1086
2013-10-11,1014
2013-10-12,665
2013-10-13,572
2013-10-14,1050
2013-10-15,1173
2013-10-16,1165
2013-10-17,1227
2013-10-18,1103
2013-10-19,635
2013-10-20,452
2013-10-21,1015
2013-10-22,1026
2013-10-23,1029
2013-10-24,1053
2013-10-25,1048
2013-10-26,501
2013-10-27,292
2013-10-28,967
2013-10-29,1008
2013-10-30,1122
2013-10-31,1150
2013-11-01,1120
2013-11-02,544
2013-11-03,372
2013-11-04,1128
2013-11-05,1158
2013-11-06,1085
2013-11-07,1197
2013-11-08,1172
2013-11-09,634
2013-11-10,482
2013-11-11,986
2013-11-12,1154
2013-11-13,1002
2013-11-14,1115
2013-11-15,1131
2013-11-16,474
2013-11-17,406
2013-11-18,1008
2013-11-19,750
2013-11-20,625
2013-11-21,1102
2013-11-22,995
2013-11-23,525
2013-11-24,348
2013-11-25,1019
2013-11-26,1004
2013-11-27,720
2013-11-28,272
2013-11-29,384
2013-11-30,307
2013-12-01,329
2013-12-02,878
2013-12-03,917
2013-12-04,992
2013-12-05,936
2013-12-06,727
2013-12-07,277
2013-12-08,274
2013-12-09,807
2013-12-10,878
2013-12-11,903
2013-12-12,966
2013-12-13,962
2013-12-14,392
2013-12-15,319
2013-12-16,946
2013-12-17,975
2013-12-18,928
2013-12-19,935
2013-12-20,867
2013-12-21,354
2013-12-22,307
2013-12-23,651
2013-12-24,336
2013-12-25,360
2013-12-26,422
2013-12-27,425
2013-12-28,403
2013-12-29,318
2013-12-30,605
2013-12-31,505
2014-01-01,359
2014-01-02,767
2014-01-03,779
2014-01-04,356
2014-01-05,296
2014-01-06,915
2014-01-07,967
2014-01-08,967
2014-01-09,980
2014-01-10,983
2014-01-11,247
2014-01-12,351
2014-01-13,1015
2014-01-14,1027
2014-01-15,1100
2014-01-16,1097
2014-01-17,1014
2014-01-18,443
2014-01-19,397
2014-01-20,615
2014-01-21,1011
2014-01-22,1071
2014-01-23,1094
2014-01-24,1021
2014-01-25,444
2014-01-26,390
2014-01-27,959
2014-01-28,1026
2014-01-29,952
2014-01-30,946
2014-01-31,839
2014-02-01,383
2014-02-02,128
2014-02-03,962
2014-02-04,994
2014-02-05,862
2014-02-06,486
2014-02-07,466
2014-02-08,94
2014-02-09,81
2014-02-10,803
2014-02-11,939
2014-02-12,1015
2014-02-13,937
2014-02-14,958
2014-02-15,415
2014-02-16,415
2014-02-17,464
2014-02-18,1013
2014-02-19,1012
2014-02-20,974
2014-02-21,937
2014-02-22,466
2014-02-23,317
2014-02-24,1011
2014-02-25,1090
2014-02-26,392
2014-02-27,872
2014-02-28,538
